82,SSD 리더기,5,9
83,송출컴,3,10
84,송출용 모니터,3,10
85,Stream Deck,4,10
86,VidiU Pro,2,10
87,VidiU X,3,10
88,FT900S 1SET = 5EA / 1SET = 4EA,2,11
89,IT-2401 1 SET = 4EA,2,11
90,CP1300 1 SET = 4EA / 1 SET = 2EA,2,12
91,MAVIC COMBO 1,1,13
92,MAVIC pro 2,1,13
93,MINI 3 Pro,4,13
94,스파크,2,13
95,인스파이어 2,2,13
96,팬텀4,6,13
97,매트릭스600,2,13
98,연습용드론,30,13
99,드론시뮬레이터,38,13
100,17인치 BON 모니터,10,14
101,LVG-170W,1,14
102,블랙매직 4K 모니터,2,14
103,F-7H,2,14
104,VFM-058W,2,14
105,NinjaBlade,1,14
106,Video Assist,2,14
107,VPL-CH370,3,14
108,EB-L730U,2,14
109,EB-700U,3,14
110,VPL-PHZ10,2,14
111,PT-MZ770,2,14
112,PLC-XP100K,0,14
113,프롬프터 SET ,1,14
114,BAMBOO CTH-670,3,15
115,ARRI Junior 650W,4,16
116,ARRI 1KW (ARRI T1),6,16
117,ARRI 2KW (ARRI T2),3,16
118,ARRI 575 SYSTEM,2,16
119,ARRI S30-C SKY PANEL,1,16
120,DEDO DLH4 KIT,1,17
121,LG-1200,6,18
122,CL-800V,10,19
123,KINO 2FT 2BANK,0,20
124,KINO 4FT 2BANK,0,20
125,KINO 4FT 4BANK,0,20
126,KINO KIT-2NT-230,0,20
127,Fomex D400,2,21
128,Fomex E400,2,21
129,LS-60X,4,22
130,LS-300X,4,22
131,LS-600C Pro,2,22
132,MC Light 4Kit,2,22
133,PavoTubeII 30X 8Kit ,1,23
134,조도계,2,24
135,색온도계,2,25
136,노출계,2,25
137,오토폴,0,25
138,A 스탠드,20,26
139,C 스탠드,20,26
140,C 스탠드 암헤드,15,26
141,콤보 스탠드,7,26
142,숏 C 스탠드,2,26
143,숏 콤보 스탠드,2,26
144,스크림 18 * 24 Set,2,27
145,스크림 24 * 36 Set,3,27
146,슈퍼클램프,4,27
147,포니클램프,5,27
148,매슬리니,2,27
149,RX-1 무선동조기,1,27
150,HONDA EU20i (2kw 발전기),0,28
151,나무집게,18,28
152,반사판,4,28
153,샌드,8,28
154,Light Dome 2,4,22
155,Lantern 90,2,22
156,PavoTubeII T12,8,23
157,PavoTubeII DMX Kit,8,23
158,DOMINO 48U,2,29
159,grandMA2 Light,1,29
160,MA2 Command Wing,2,29
161,T2 (MA2 Light 카피),2,29
162,DMX 3Pin SPLITTER 1:8 2EA,1,30
163,PPL-BS280A,12,31
164,PPL-300BSW-A,8,32
165,SIRIUS 8500,12,33
166,ML-1225,12,33
167,ERA600,8,34
168,PPL-PW360W,12,35
169,CM 350Z Ⅱ,12,35
170,Moving LED Par 102,6,35
171,KL PANEL,12,36
172,Dray 440F,2,37
173,HZ 500,3,38
174,HZ 400,1,38
175,DNG 200,1,38
176,Fresnel 1KW,6,39
177,Source Four 15-30,8,40
178,Source Four 25-50,8,40
179,PAR64,28,41
180,이동식 디머,1,42
181,이동식 디머 라인,4,42
182,이동식 디머 라인,4,42
183,이동식 디머 연장라인,8,42
184,접지봉,1,42
185,콘솔용 터치 모니터,4,42
186,C형 변환 (멀티탭),10,42
187,C형 변환 (삼선),5,42
188,1대1 연장라인,15,42
189,투퍼,5,42
190,5암 3수,20,42
191,3암 5수,20,42
192,5pin XLR,40,42
193,3pin XLR,70,42
194,조명용 3구 멀티탭,11,42
195,대파라인 1:1,6,42
196,대파라인 1:3,6,42
197,"컬러프레임 (퍼넬, 줌서스포)",7,42
198,컬러프레임 (대파),54,42
199,고보프레임,20,42
200,아이리스,1,42
201,ME66,2,43
202,ME67,1,43
203,NTG-3,1,43
204,NTG-4,3,43
205,MKH60,1,43
206,MKH40,1,43
207,MKH20,1,43
208,CSS-5,1,43
209,VIDEOMIC PRO ,10,43
210,CK98,1,43
211,Boompole,3,43
212,Blimp,3,43
213,SM58,10,44
214,Beta58,3,44
215,SM57,10,44
216,e845,1,44
217,E904,6,44
218,D112,1,44
219,Beta52,2,44
220,Beta56,2,44
221,MD421,2,44
222,MD441,1,44
223,M3,10,45
224,M5 pair,1,45
225,NT5 pair,2,45
226,C1000S,1,45
227,C391b,2,45
228,C451B,1,45
229,C518m,4,45
230,C414B-ULS,2,45
231,C414XLII,2,45
232,BETA91,2,45
233,SM81,2,45
234,TLM102,2,45
235,TLM103,1,45
236,U87Ai,1,45
237,DPA4099,7,45
238,MCM114,6,45
239,BLUEBIRD,2,45
240,MM1,9,45
241,Pro Audio Drumset,1,46
242,PGA DRUM SET,1,46
243,AR133,10,47
244,JDI Duplex mk4,6,47
245,UWP-D21,18,48
246,UWP-D11,14,48
247,UWP-D12,2,48
248,UWP-D26,2,48
249,ULXD4 8ch (900),1,48
250,ULXD4 10ch (900),1,48
251,ULXD4 12ch (900),1,48
252,ULXD1 (900),24,48
253,ULXD2 (900),12,48
254,ULXD4 10ch (500),1,48
255,ULXD1 (500),9,48
256,ULXD2 (500),9,48
257,SLX4 (900),6,48
258,SLX1 (900),6,48
259,UA874X,4,48
260,E&W pin,40,48
261,AES 2ch 무선 마이크 set,2,48
262,DJI MIC (2 TX + 1 RX),3,48
263,XSW-D XLR BASE SET,6,48
264,PSM900 P9T,4,49
265,PSM900 P9R,6,49
266,P16I,1,49
267,P16D,2,49
268,P16M,14,49
269,P16MB,14,49
270,Livemix MIX-16,1,49
271,Livemix CS-Duo,2,49
272,MDR-7506,5,50
273,SE425,3,50
274,대여용 필립스 헤드폰,15,50
275,mixpre-6 ii,2,51
276,dr-680,4,51
277,H3-VR,2,51
278,WING,1,52
279,M32,1,52
280,X32,1,52
281,X32 Compact,2,52
282,M32R,1,52
283,01V,1,52
284,01V96,1,52
285,DM1000,1,52
286,M7CL,1,52
287,Venice 160,1,52
288,MG16XU,1,52
289,XENXY2442,1,52
290,1202VLZ4,1,52
291,SSL 2+,2,52
292,Studio 26c,2,52
293,UR22,3,52
294,UR44,3,52
295,DN1248,3,52
296,DL32,3,52
297,S32,1,52
298,S16,2(1set),52
299,ART312 mk4,4,52
300,SRM450 v1,2,52
301,SRM650,4,52
302,ICOA SUB 18A,2,52
303,SRM1801,1,52
304,EON615,1,52
305,IQ12,2,52
306,IQ18,2,52
307,B112mp3,4,52
308,KARA,12,52
309,SB18,4,52
310,LA4X + LA8,1,52
311,LA8,1,52
312,카라 스피콘 케이블 set,1,52
313,M-Bump,4,52
314,D20 ,2(1set),52
315,M4,10,52
316,E-pac ,8(1set),52
317,MAX,10,52
318,Martin WS218X,4,52
319,Martin W8LC,8,52
320,LM26,2,52
321,MA2.8Q,2,52
322,MA5.2K,3,52
323,DSP244,1,52
324,L2400,3,52
325,SRX725,2,52
326,MP412,2,52
327,HS-5,2,52
328,MSP5,8,52
329,1030A,3,52
330,t자형 마이크 스탠드,8,53
331,i자형 마이크 스탠드,4,53
332,자바라 마이크 스탠드,7,53
333,스피커 스탠드,10,53
334,유선 마이크 홀더,20,53
335,무선 마이크 홀더,20,53
336,8ch 멀티박스,3,53
337,2P 스피콘,3,53
338,4P 스피콘,8,53
339,M4 스피콘 케이블,11,53
340,랜케이블,0,53
341,3.5-6.35mm 변환젠더,0,53
342,네트워크 스위치,3,53
343,공유기,3,53
344,중계용 기가 공유기,1,53
345,IQ전기박스 + 캠락,1,53
346,미니 전기박스 + 르그랑,1,53
347,q-sys 110f,1,54
348,dante avio input / output / usb i/o set,4,55
349,ND98 ,1,56
350,smaart 소프트웨어 (노트북 대여),2,57
351,AMBEO VR Mic,1,58
352,I-Lok 동글키,0,59
